upstream,downstream,downstream_j,region,pop,lwr,upr,samp
0,0.5,DS Juv = 0.6,NNE,821480231.49241,607157931.3,1039726284.875,819
0,0.5,DS Juv = 0.6,SNE,7023653.85399836,5260823.2,9051939.075,124
0,0.5,DS Juv = 0.7,MAT,67708898.9836769,48765408.6,88796189.475,533
0,0.5,DS Juv = 0.7,NNE,823840151.79445,585270539.925,1063424036.225,804
0,0.5,DS Juv = 0.7,SNE,7057861.28381521,4718741.95,9260073.075,134
0,0.5,DS Juv = 0.8,MAT,67756755.3730301,48624581.6,88369385.425,541
0,0.5,DS Juv = 0.8,NNE,823520643.665508,589541825.85,1054763407.35,812
0,0.5,DS Juv = 0.8,SNE,7091323.75515151,5324848.6,9454172.175,121
0,0.5,DS Juv = 0.9,MAT,68458140.2266734,49939788.625,87365742,504
0,0.5,DS Juv = 0.9,NNE,793057522.471706,567698549.725,1013811690.85,808
0,0.5,DS Juv = 0.9,SNE,6759358.85893185,4541913.5,8812061.4,119
0,0.5,DS Juv = 1,MAT,67609092.140944,48603995.425,87354631.825,564
0,0.5,DS Juv = 1,NNE,822537959.861017,593818981.3,1050048570.675,812
0,0.5,DS Juv = 1,SNE,6709873.32659608,4637872.675,9806670.375,155
0,0.6,DS Juv = 0,MAT,68846765.3530753,50081838.85,89747397.175,520
0,0.6,DS Juv = 0,NNE,820678311.360181,630461198.325,1042330347.9,804
0,0.6,DS Juv = 0,SNE,6773470.76988946,4448673.225,8739287.6,134
0,0.6,DS Juv = 0.1,MAT,67809540.1390234,48686129.125,87910504.575,523
0,0.6,DS Juv = 0.1,NNE,824953050.227166,605277125.725,1050568092.5,809
0,0.6,DS Juv = 0.1,SNE,6867900.00246283,4526105.375,9316162.75,147
0,0.6,DS Juv = 0.2,MAT,68636173.3607951,47579216.95,92061336.95,538
0,0.6,DS Juv = 0.2,NNE,810091745.464445,577838537.45,1016562644.075,875
0,0.6,DS Juv = 0.2,SNE,7106085.36810376,5261380.975,9648529.85,122
0,0.6,DS Juv = 0.3,MAT,68731755.4622524,47632988.125,88840376.95,531
0,0.6,DS Juv = 0.3,NNE,817077825.69092,544428550.25,1058679378.725,848
0,0.6,DS Juv = 0.3,SNE,6884196.12941317,5187244.425,8403753.95,124
0,0.6,DS Juv = 0.4,MAT,67136488.0543456,47197662.3,89805864.55,563
0,0.6,DS Juv = 0.4,NNE,824354069.78407,571490168.05,1073074170.275,862
0,0.6,DS Juv = 0.4,SNE,6809503.88471496,4771901.475,9144078.2,148
0,0.6,DS Juv = 0.5,MAT,69508960.3366512,49361123.025,90206964.975,519
0,0.6,DS Juv = 0.5,NNE,805414999.959122,598342010.775,1026464704.275,855
0,0.6,DS Juv = 0.5,SNE,6826984.0904135,4950953.5,8989182.4,126
0,0.6,DS Juv = 0.6,MAT,68083415.4442881,48889227.4,89160869.225,515
0,0.6,DS Juv = 0.6,NNE,815941287.28033,594818939,1046130476.575,867
0,0.6,DS Juv = 0.6,SNE,6954926.96014493,4357749.225,9365352.85,125
0,0.6,DS Juv = 0.7,MAT,68310600.3831861,47025888.75,91721988.275,560
0,0.6,DS Juv = 0.7,NNE,807378038.535837,569423481.875,1052819428.625,844
0,0.6,DS Juv = 0.7,SNE,7195392.1958195,5005795.35,9366575.4,145
0,0.6,DS Juv = 0.8,MAT,68930232.0558053,46954963.975,91308197.625,529
0,0.6,DS Juv = 0.8,NNE,820440806.979948,591612394.075,1039830540.4,915
0,0.6,DS Juv = 0.8,SNE,6822346.34164447,4758873.225,8882132.35,137
0,0.6,DS Juv = 0.9,MAT,67604383.3356267,47644064.975,88100956.125,551
0,0.6,DS Juv = 0.9,NNE,797148922.065502,547160871.825,1050823900.45,821
0,0.6,DS Juv = 0.9,SNE,7053913.99858198,5141646.575,9157618.375,152
0,0.6,DS Juv = 1,MAT,67603172.3231498,47892210.875,87346379.6,527
0,0.6,DS Juv = 1,NNE,826920690.190932,574006215.9,1105004775.9,832
0,0.6,DS Juv = 1,SNE,6924635.62179369,4797231.925,9369574.325,148
0,0.7,DS Juv = 0,MAT,67928645.1408803,46631586.15,89998324.275,520
0,0.7,DS Juv = 0,NNE,811276899.195076,582808700.5,1056883772.375,815
0,0.7,DS Juv = 0,SNE,7122170.73627594,4780877.925,9156714.225,160
0,0.7,DS Juv = 0.1,MAT,69312799.6345377,47994967.775,93528557.2,543
0,0.7,DS Juv = 0.1,NNE,800858311.498537,575950247.925,1043109242.475,890
0,0.7,DS Juv = 0.1,SNE,7111900.03309908,4542285.825,9770642.9,133
0,0.7,DS Juv = 0.2,MAT,67763657.6349261,49371527.225,87000971.125,524
0,0.7,DS Juv = 0.2,NNE,832282893.902752,588904626.475,1068170897.825,847
0,0.7,DS Juv = 0.2,SNE,6850098.9955988,4426999.775,9269630.8,139
0,0.7,DS Juv = 0.3,MAT,67918356.4284876,49920292.225,88489622.675,510
0,0.7,DS Juv = 0.3,NNE,817015941.699749,591546705.8,1032701103.025,821
0,0.7,DS Juv = 0.3,SNE,6882878.76078246,4825884.45,9336006.175,114
0,0.7,DS Juv = 0.4,MAT,67818846.1560727,50123331.525,90011489.3,519
0,0.7,DS Juv = 0.4,NNE,802245414.554045,569538977.2,1070190970.025,817
0,0.7,DS Juv = 0.4,SNE,6849767.14880952,5315511.4,8837385.775,120
0,0.7,DS Juv = 0.5,MAT,68344647.0583592,49927013.575,89391153.075,556
0,0.7,DS Juv = 0.5,NNE,804582175.14943,600007485.6,1055645802.875,854
0,0.7,DS Juv = 0.5,SNE,6832731.76362023,4873058.875,9092814.825,129
0,0.7,DS Juv = 0.6,MAT,67381197.8963522,47824290.05,89630448.975,535
0,0.7,DS Juv = 0.6,NNE,799192526.639433,570343161.875,1014951618.8,805
0,0.7,DS Juv = 0.6,SNE,7191803.77222222,5104440.425,9062695.95,127
0,0.7,DS Juv = 0.7,MAT,68814007.2621692,49457177.7,90197733.35,530
0,0.7,DS Juv = 0.7,NNE,809540321.287224,554433142.925,1068587264.075,834
0,0.7,DS Juv = 0.7,SNE,7010319.98730159,4672958.3,8807629.25,125
0,0.7,DS Juv = 0.8,MAT,68466580.8062923,49342731.825,89784037.05,567
0,0.7,DS Juv = 0.8,NNE,830498758.159206,581972754.9,1073108450.475,815
0,0.7,DS Juv = 0.8,SNE,6741008.92671243,5131921.05,8879097.4,123
0,0.7,DS Juv = 0.9,MAT,68362200.8968798,47776810.575,90524334.575,558
0,0.7,DS Juv = 0.9,NNE,806180282.542764,522107536.65,1050563332.15,817
0,0.7,DS Juv = 0.9,SNE,6887741.05569764,4831273.025,9592378.5,139
0,0.7,DS Juv = 1,MAT,69796258.901199,51288403.625,88878225.475,495
0,0.7,DS Juv = 1,NNE,822188668.643931,619389567.3,1044282449.675,803
0,0.7,DS Juv = 1,SNE,7013982.98792327,4933518.025,9183855.85,150
0,0.8,DS Juv = 0,MAT,69797701.444656,49316029.925,89133531.375,557
0,0.8,DS Juv = 0,NNE,814475954.397038,587907197.75,1056998694.475,803
0,0.8,DS Juv = 0,SNE,6808166.14643952,4562462.325,9219850.6,108
