upstream,downstream,downstream_j,pop,lwr,upr,samp
0.1,0.7,DS Juv = 0,883770108,656750501.45,1169953820.3,1469
0.1,0.7,DS Juv = 0.1,865308854.5,579928765.35,1136112429.275,1538
0.1,0.7,DS Juv = 0.2,883246612.5,630889365.9,1128399799.425,1515
0.1,0.7,DS Juv = 0.3,901908364,672303564.525,1178718714.425,1452
0.1,0.7,DS Juv = 0.4,899965441.5,635072403.275,1111586968.7,1485
0.1,0.7,DS Juv = 0.5,868573868,662072297.475,1138818254.225,1525
0.1,0.7,DS Juv = 0.6,916680244,634031670.4,1182886466.175,1479
0.1,0.7,DS Juv = 0.7,889560094,620586995.3,1162086611.55,1486
0.1,0.7,DS Juv = 0.8,906908996.5,641395987.45,1157184029.6,1453
0.1,0.7,DS Juv = 0.9,913521516.5,643320130.95,1151856148.5,1543
0.1,0.7,DS Juv = 1,914334220,673213243,1140572295.625,1489
0.1,0.8,DS Juv = 0,884367099,642915251.6,1142689234.925,1512
0.1,0.8,DS Juv = 0.1,875396717.5,662393853.45,1159235306.125,1450
0.1,0.8,DS Juv = 0.2,915747803.5,658089090,1137239739.825,1403
0.1,0.8,DS Juv = 0.3,899932270,644517411.975,1187456736.5,1467
0.1,0.8,DS Juv = 0.4,908227558,659339541.7,1128942599.375,1489
0.1,0.8,DS Juv = 0.5,883103281.5,614221016.125,1191825227.225,1491
0.1,0.8,DS Juv = 0.6,903992732,652555844.625,1158484178.675,1563
0.1,0.8,DS Juv = 0.7,906569589.5,636858471,1155012681.025,1516
0.1,0.8,DS Juv = 0.8,888578561,655206452.15,1143332714.4,1502
0.1,0.8,DS Juv = 0.9,879944859.5,618610840.675,1110539378.825,1480
0.1,0.8,DS Juv = 1,883661032.5,640502991.9,1226094081.225,1464
0.1,0.9,DS Juv = 0,903949701.5,634881252.6,1165129972.375,1480
0.1,0.9,DS Juv = 0.1,885010093.5,642728034.65,1147436617.425,1528
0.1,0.9,DS Juv = 0.2,887164465.5,645202001.1,1137732835,1492
0.1,0.9,DS Juv = 0.3,891402180,656758031.8,1139039251.875,1468
0.1,0.9,DS Juv = 0.4,913256000.5,659218409.275,1178038541,1563
0.1,0.9,DS Juv = 0.5,891508186.5,656444391.1,1146964293.6,1513
0.1,0.9,DS Juv = 0.6,894196488.5,637099278.9,1180692793.05,1447
0.1,0.9,DS Juv = 0.7,915140789.5,665247222.075,1174729170.95,1489
0.1,0.9,DS Juv = 0.8,894764045.5,634048457.875,1156305489,1572
0.1,0.9,DS Juv = 0.9,906354576.5,603540575.375,1174410892.425,1524
0.1,0.9,DS Juv = 1,906851191.5,640134879.975,1186215118.8,1486
0.1,1,DS Juv = 0,867832974.5,624760276.5,1171142185.675,1459
0.1,1,DS Juv = 0.1,885371668.5,582779146.4,1137626955.7,1505
0.1,1,DS Juv = 0.2,882687712.5,634310341.525,1143329517.175,1504
0.1,1,DS Juv = 0.3,899163044,663140727.725,1166828152.875,1505
0.1,1,DS Juv = 0.4,888957184.5,625216804.825,1148078249.175,1513
0.1,1,DS Juv = 0.5,883867363,628366469.9,1140636094.75,1489
0.1,1,DS Juv = 0.6,915562572.5,622742585.1,1170533822.175,1460
0.1,1,DS Juv = 0.7,918099997.5,690127542.725,1160151890.35,1556
0.1,1,DS Juv = 0.8,900290240,655883846.525,1135354198.5,1526
0.1,1,DS Juv = 0.9,904991139.5,647200311.075,1153688926.3,1479
0.1,1,DS Juv = 1,917264842,657951831.975,1207748662.325,1512
0.2,0,DS Juv = 0,834313999.5,599533167.25,1065339503.375,1516
0.2,0,DS Juv = 0.1,875433158,640475512.35,1124329955.35,1538
0.2,0,DS Juv = 0.2,866755007.5,629509260.4,1123795840.7,1477
0.2,0,DS Juv = 0.3,871322195.5,630703557.95,1084057692.625,1516
0.2,0,DS Juv = 0.4,864978098.5,648590203.675,1112067810.8,1466
0.2,0,DS Juv = 0.5,861739452.5,608521743.025,1104342398.925,1503
0.2,0,DS Juv = 0.6,900918754.5,628385361.85,1138702761.95,1441
0.2,0,DS Juv = 0.7,882467034,632012265.225,1147069163,1561
0.2,0,DS Juv = 0.8,864578137,631191913.05,1137477821.6,1526
0.2,0,DS Juv = 0.9,891022959.5,641863115.875,1127170922.075,1496
0.2,0,DS Juv = 1,894858156.5,639462359.7,1190096695.975,1483
0.2,0.1,DS Juv = 0,857969614.5,627490688.225,1106581519.325,1582
0.2,0.1,DS Juv = 0.1,872492759,643446146.125,1103709946.2,1444
0.2,0.1,DS Juv = 0.2,881864380,613461253.4,1056991207.35,1495
0.2,0.1,DS Juv = 0.3,873885104,609756110.35,1097138910.3,1526
0.2,0.1,DS Juv = 0.4,872983667.5,625510928.4,1117124066,1488
0.2,0.1,DS Juv = 0.5,874122896,612330884.975,1082393130.8,1470
0.2,0.1,DS Juv = 0.6,871483522.5,600492343.525,1125396203.05,1485
0.2,0.1,DS Juv = 0.7,871835549,632042220.7,1132920995.8,1537
0.2,0.1,DS Juv = 0.8,869546228.5,646878305.9,1129335851.225,1535
0.2,0.1,DS Juv = 0.9,894545265.5,622076832.9,1166885947,1480
0.2,0.1,DS Juv = 1,883813001.5,649101478.425,1127415486.8,1505
0.2,0.2,DS Juv = 0,889776242.5,648765034.35,1124700869.325,1490
0.2,0.2,DS Juv = 0.1,879117323,629414583,1132441705.45,1466
0.2,0.2,DS Juv = 0.2,863861264,645264594.65,1137440996.875,1501
0.2,0.2,DS Juv = 0.3,878014371.5,643063096.775,1150845829,1509
0.2,0.2,DS Juv = 0.4,878801447.5,613707286.5,1147150990.9,1578
0.2,0.2,DS Juv = 0.5,882132233,652301188.175,1106235096.3,1491
0.2,0.2,DS Juv = 0.6,889573892,640763947.325,1155081728.1,1493
0.2,0.2,DS Juv = 0.7,873882062.5,604663622.925,1117132479.575,1551
0.2,0.2,DS Juv = 0.8,914246314.5,670261855.3,1161356300.65,1533
0.2,0.2,DS Juv = 0.9,908925056,671408963.225,1164395060.925,1496
